Function	Gene Name	kon_ESC	koff_ESC	OR_ESC	kon_MAF	koff_MAF	OR_MAF				
mRNA Processing	Zranb2	0.59421229	1.71886103	2.176470588	0.72500446	18.66332234	1.647083333				
mRNA Processing	Snrpe	1.56962946	2.59328916	0	1.37420331	18.69381865	1.643478261				
mRNA Processing	Zfp64	1.23977396	164.5049856	1.299450549	0.20231033	0.38818125	1.623913043				
mRNA Processing	Mbnl2	0.37381597	4.76210976	2.652631579	1.40287064	4.74404465	1.605042017				
mRNA Processing	Prpf18	0.7295678	2.55321391	1.846153846	0.50650078	1.02560044	1.598837209				
mRNA Processing	Sart1	0.72699846	1.69268513	0.880952381	0.392654111	104.167066	1.596638655				
mRNA Processing	Tut1	2.00020037	15.59308716	0.9	0.63051888	10.26574882	1.595744681				
mRNA Processing	Prpf4b	0.158258	0.19525613	1.633333333	0.13298607	0.54117816	1.5875				
mRNA Processing	Cd2bp2	1.19531727	2.41451549	0.87012987	0.56221504	2.62455672	1.578431373				
mRNA Processing	Dhx15	0.81574427	3.33066056	1.4	0.62326902	2.43756424	1.578014184				
mRNA Processing	Srrm2	0.27159644	0.41611189	1.1208577	0.20569314	1.15475753	1.546511628				
mRNA Processing	Smn1	1.11669859	1.72548253	3.777777778	0.78119963	91.99777279	1.529200359				
mRNA Processing	Ssu72	1.13829425	1.42910563	2.314285714	1.5892585	208.1702721	1.516666667				
mRNA Processing	Ctr9	0.69507742	78.55571755	1.594202899	0.39244218	2.56852345	1.514705882				
mRNA Processing	Srsf1	0.41369048	0.6236985	1.19047619	0.19062264	0.67465062	1.506538797				
mRNA Processing	Zfp326	0.15375261	0.25616302	2.443438914	0.21461001	1.2930574	1.479915433				
mRNA Processing	Wdr33	0.32447368	0.39921589	0.670289855	0.25055861	0.5066237	1.448412698				
mRNA Processing	Sart3	0.87102024	2.02926094	4.072727273	0.37140997	6.03713458	1.447245565				
mRNA Processing	Snrnp48	0.75817561	4.77323199	2.339181287	0.20658963	1.70317845	1.43				
mRNA Processing	Dhx9	0.31665041	0.51914758	0.992727273	0.14031759	0.6474518	1.429587482				
mRNA Processing	Slu7	0.76410418	1.77536453	0.298666667	0.54047505	1.21716718	1.422924901				
mRNA Processing	Cdk13	0.15725353	0.19932658	1.705882353	0.57736056	7.050498	1.411764706				
mRNA Processing	Luc7l	1.13290611	34.44268753	1.619047619	0.35549838	0.89721255	1.405667702				
mRNA Processing	Magoh	0.68666792	0.71211435	0.964285714	0.46463475	1.34375844	1.400921659				
mRNA Processing	Ppil3	0.13523804	0.21966604	1.2	0.50716999	10.63413052	1.357142857				
mRNA Processing	Sf1	1.44555327	5.72670513	0.639705882	0.81082257	125.3309745	1.352700491				
mRNA Processing	Sf3a1	0.96621227	318.69483	0.886287625	0.49214844	13.43805008	1.341463415				
mRNA Processing	Wbp4	0.5925567	1.78207907	0.615384615	0.7721082	6.3534238	1.340425532				
mRNA Processing	Ahcyl1	0.09527047	2.16957567	6.56	0.20750063	5.44957773	1.330578512				
mRNA Processing	Srek1ip1	0.11661962	0.22000394	0.972222222	0.41544222	7.10882306	1.31037037				
mRNA Processing	Aqr	0.63188133	0.80990642	0.751953125	0.47598837	1.41524171	1.263219741				
mRNA Processing	Rbm39	1.50317733	3.47794929	4.2	1.04649133	182.792303	1.256				
mRNA Processing	Thoc7	0.88013523	5.02942587	0.582633053	1.22935414	31.29895329	1.232536765				
mRNA Processing	Rbm28	1.11479789	32.06884882	0.439359268	0.6141237	87.24588582	1.11042735				
mRNA Processing	Clp1	0.2790601	0.36139757	1.172413793	0.23241925	65.47946729	1.096551724				
mRNA Processing	Zmat2	0.07055038	0.23353883	0	0.02837068	0.12379824	1.045454545				
